Model,Hardware,Latency (s),Energy (J),Area (mm^2),Latency Breakdown,Energy Breakdown,Area Breakdown
BERT-large,pidcop_small_25G,16.50475597824,1.0521780805632002,21.248,"{'QKV_proj': 0.00025165824, 'Attention': 0.00016777216, 'Softmax': 8.192e-08, 'MHA_proj': 8.388608e-05, 'FFN_1': 0.34359738368, 'FFN_2': 0.34359738368, 'Total_Latency': 16.50475597824}","{'MAC': 0.0206309425152, 'DAC': 0.206309425152, 'ADC': 1.2288e-08, 'Static': 0.8252377006080001, 'Total_Energy': 1.0521780805632002}","{'MAC_array': 20.48, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 21.248}"
BERT-large,pidcop_large_10G,41.261889945600004,2.2900346314752005,108.332,"{'QKV_proj': 0.0006291456, 'Attention': 0.0004194304, 'Softmax': 2.048e-07, 'MHA_proj': 0.0002097152, 'FFN_1': 0.8589934592, 'FFN_2': 0.8589934592, 'Total_Latency': 41.261889945600004}","{'MAC': 0.0206309425152, 'DAC': 0.206309425152, 'ADC': 1.2288e-08, 'Static': 2.0630942515200004, 'Total_Energy': 2.2900346314752005}","{'MAC_array': 106.58, 'PCA': 1.46, 'ADC': 0.292, 'Total_Area': 108.332}"
BERT-large,pidcop_large_25G,16.50475597824,1.0521780805632002,108.332,"{'QKV_proj': 0.00025165824, 'Attention': 0.00016777216, 'Softmax': 8.192e-08, 'MHA_proj': 8.388608e-05, 'FFN_1': 0.34359738368, 'FFN_2': 0.34359738368, 'Total_Latency': 16.50475597824}","{'MAC': 0.0206309425152, 'DAC': 0.206309425152, 'ADC': 1.2288e-08, 'Static': 0.8252377006080001, 'Total_Energy': 1.0521780805632002}","{'MAC_array': 106.58, 'PCA': 1.46, 'ADC': 0.292, 'Total_Area': 108.332}"
BERT-large,pidcop_asymmetric_10G,41.261889945600004,2.2900346314752005,47.488,"{'QKV_proj': 0.0006291456, 'Attention': 0.0004194304, 'Softmax': 2.048e-07, 'MHA_proj': 0.0002097152, 'FFN_1': 0.8589934592, 'FFN_2': 0.8589934592, 'Total_Latency': 41.261889945600004}","{'MAC': 0.0206309425152, 'DAC': 0.206309425152, 'ADC': 1.2288e-08, 'Static': 2.0630942515200004, 'Total_Energy': 2.2900346314752005}","{'MAC_array': 46.72, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 47.488}"
BERT-large,pidcop_asymmetric_25G,16.50475597824,1.0521780805632002,47.488,"{'QKV_proj': 0.00025165824, 'Attention': 0.00016777216, 'Softmax': 8.192e-08, 'MHA_proj': 8.388608e-05, 'FFN_1': 0.34359738368, 'FFN_2': 0.34359738368, 'Total_Latency': 16.50475597824}","{'MAC': 0.0206309425152, 'DAC': 0.206309425152, 'ADC': 1.2288e-08, 'Static': 0.8252377006080001, 'Total_Energy': 1.0521780805632002}","{'MAC_array': 46.72, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 47.488}"
BERT-large,pixel_photonic,41.261889945600004,1.3461690052608,8.8,"{'QKV_proj': 0.0006291456, 'Attention': 0.0004194304, 'Softmax': 2.048e-07, 'MHA_proj': 0.0002097152, 'FFN_1': 0.8589934592, 'FFN_2': 0.8589934592, 'Total_Latency': 41.261889945600004}","{'MAC': 0.0051577356288, 'DAC': 0.103154712576, 'ADC': 6.144e-09, 'Static': 1.237856550912, 'Total_Energy': 1.3461690052608}","{'MAC_array': 8.192, 'PCA': 0.512, 'ADC': 0.096, 'Total_Area': 8.8}"
BERT-large,tpu_v4,412.61889945600007,16504.87779781509,24.576,"{'QKV_proj': 0.006291456, 'Attention': 0.004194304, 'Softmax': 2.048e-06, 'MHA_proj': 0.002097152, 'FFN_1': 8.589934592, 'FFN_2': 8.589934592, 'Total_Latency': 412.61889945600007}","{'MAC': 0.12378565509119999, 'DAC': 0.0, 'ADC': 0.0, 'Static': 16504.75401216, 'Total_Energy': 16504.87779781509}","{'MAC_array': 24.576, 'PCA': 0.0, 'ADC': 0.0, 'Total_Area': 24.576}"
GPT-2 Large,deap_cnn,193.38678927360002,7.1625626763264005,10.8352,"{'QKV_proj': 0.001572864, 'Attention': 0.001048576, 'Softmax': 4.096e-07, 'MHA_proj': 0.000524288, 'FFN_1': 2.68435456, 'FFN_2': 2.68435456, 'Total_Latency': 193.38678927360002}","{'MAC': 0.0072520040448, 'DAC': 0.38677354905600003, 'ADC': 1.47456e-08, 'Static': 6.76853710848, 'Total_Energy': 7.1625626763264005}","{'MAC_array': 10.24, 'PCA': 0.48, 'ADC': 0.1152, 'Total_Area': 10.8352}"
GPT-2 Large,gpu_a100,2743.075025157447,137154.46600040447,15.600000000000001,"{'QKV_proj': 0.022310127659574467, 'Attention': 0.014873418439716311, 'Softmax': 5.809929078014184e-06, 'MHA_proj': 0.007436709219858156, 'FFN_1': 38.07595120567376, 'FFN_2': 38.07595120567376, 'Total_Latency': 2743.075025157447}","{'MAC': 0.72520040448, 'DAC': 0.0, 'ADC': 0.0, 'Static': 137153.7408, 'Total_Energy': 137154.46600040447}","{'MAC_array': 15.600000000000001, 'PCA': 0.0, 'ADC': 0.0, 'Total_Area': 15.600000000000001}"
GPT-2 Large,holylight,241.73348659199996,10.0657816252416,16.864,"{'QKV_proj': 0.00196608, 'Attention': 0.00131072, 'Softmax': 5.12e-07, 'MHA_proj': 0.00065536, 'FFN_1': 3.3554432, 'FFN_2': 3.3554432, 'Total_Latency': 241.73348659199996}","{'MAC': 0.0096693387264, 'DAC': 0.38677354905600003, 'ADC': 1.10592e-08, 'Static': 9.6693387264, 'Total_Energy': 10.0657816252416}","{'MAC_array': 16.384, 'PCA': 0.384, 'ADC': 0.096, 'Total_Area': 16.864}"
