Model,Hardware,Total MACs,Latency (s),Energy (J),Area (mm^2)
T5-3B,gpu_a100,463856467968,0.0010544109564648118,0.7485052497752407,15.600000000000001
T5-3B,holylight,463856467968,0.007077888,0.38064541940736,16.864
T5-3B,lightbulb_photonic,463856467968,0.0028311552,0.37586529694208004,30.5408
T5-3B,pidcop_small_10G,463856467968,0.0113246208,1.0210504610816,21.248
T5-3B,pidcop_small_25G,463856467968,0.00452984832,1.0207107224576,21.248
T5-3B,pidcop_large_10G,463856467968,0.0021760952710076936,1.0205930348051504,108.332
T5-3B,pidcop_large_25G,463856467968,0.0008704381084030775,1.0205277519470202,108.332
T5-3B,pidcop_asymmetric_10G,463856467968,0.004964217336986302,1.0207324409084493,47.488
T5-3B,pidcop_asymmetric_25G,463856467968,0.0019856869347945204,1.0205835143883397,47.488
T5-3B,pixel_photonic,463856467968,0.0113246208,0.4873890302464,8.8
T5-3B,tpu_v4,463856467968,0.00037748736,0.5717272559616,24.576
OPT-350M,deap_cnn,347892350976,0.0084934656,0.28382953816064,10.8352
OPT-350M,gpu_a100,347892350976,0.0007908082173486089,0.5613789373314304,15.600000000000001
OPT-350M,holylight,347892350976,0.005308416,0.28548406505471996,16.864
OPT-350M,lightbulb_photonic,347892350976,0.0021233664,0.28189897312255996,30.5408
OPT-350M,pidcop_small_10G,347892350976,0.0084934656,0.7657878474752,21.248
OPT-350M,pidcop_small_25G,347892350976,0.00339738624,0.7655330435072001,21.248
OPT-350M,pidcop_large_10G,347892350976,0.0016320714532557703,0.7654447777678628,108.332
OPT-350M,pidcop_large_25G,347892350976,0.0006528285813023081,0.7653958156242652,108.332
OPT-350M,pidcop_asymmetric_10G,347892350976,0.0037231630027397262,0.7655493323453371,47.488
OPT-350M,pidcop_asymmetric_25G,347892350976,0.0014892652010958904,0.7654376374552548,47.488
OPT-350M,pixel_photonic,347892350976,0.0084934656,0.3655417735168,8.8
OPT-350M,tpu_v4,347892350976,0.00028311552,0.4287954419712,24.576
